Mês/Ano;Estado;Qtd
set/14;AM;18
out/14;AM;9
nov/14;AM;14
dez/14;AM;4
jan/15;AM;11
fev/15;AM;14
mar/15;AM;18
abr/15;AM;15
mai/15;AM;23
jun/15;AM;21
jul/15;AM;6
ago/15;AM;21
set/15;AM;14
out/15;AM;18
nov/15;AM;22
dez/15;AM;16
jan/16;AM;15
fev/16;AM;13
mar/16;AM;23
abr/16;AM;15
mai/16;AM;16
jun/16;AM;16
jul/16;AM;21
ago/16;AM;14
set/16;AM;9
out/16;AM;10
nov/16;AM;15
dez/16;AM;7
jan/17;AM;14
fev/17;AM;9
mar/17;AM;10
abr/17;AM;5
mai/17;AM;8
jun/17;AM;5
jul/17;AM;15
ago/17;AM;11
set/17;AM;8
out/17;AM;13
nov/17;AM;8
dez/17;AM;5
jan/18;AM;12
fev/18;AM;7
mar/18;AM;11
abr/18;AM;8
mai/18;AM;10
jun/18;AM;6
jul/18;AM;6
ago/18;AM;10
set/18;AM;4
out/18;AM;15
nov/18;AM;16
dez/18;AM;14
jan/19;AM;17
fev/19;AM;11
mar/19;AM;17
abr/19;AM;28
mai/19;AM;15
jun/19;AM;24
jul/19;AM;19
ago/19;AM;18
set/19;AM;22
out/19;AM;26
nov/19;AM;16
dez/19;AM;12
jan/20;AM;15
fev/20;AM;7
mar/20;AM;11
abr/20;AM;3
mai/20;AM;0
jun/20;AM;0
jul/20;AM;0
ago/20;AM;0
set/20;AM;0
out/20;AM;0
nov/20;AM;0
dez/20;AM;0
jan/07;RR;0
fev/07;RR;0
mar/07;RR;0
abr/07;RR;2
mai/07;RR;1
jun/07;RR;1
jul/07;RR;0
ago/07;RR;0
set/07;RR;1
out/07;RR;2
nov/07;RR;0
dez/07;RR;1
jan/08;RR;0
fev/08;RR;1
mar/08;RR;1
abr/08;RR;0
mai/08;RR;0
jun/08;RR;2
jul/08;RR;1
ago/08;RR;0
set/08;RR;2
out/08;RR;7
nov/08;RR;4
dez/08;RR;1
jan/09;RR;3
fev/09;RR;0
mar/09;RR;4
abr/09;RR;4
mai/09;RR;4
jun/09;RR;3
jul/09;RR;3
ago/09;RR;0
set/09;RR;3
out/09;RR;2
nov/09;RR;3
dez/09;RR;0
jan/10;RR;2
fev/10;RR;0
mar/10;RR;3
abr/10;RR;0
mai/10;RR;1
jun/10;RR;2
jul/10;RR;0
ago/10;RR;3
set/10;RR;4
out/10;RR;1
nov/10;RR;1
dez/10;RR;3
jan/11;RR;1
fev/11;RR;1
mar/11;RR;2
abr/11;RR;1
mai/11;RR;0
jun/11;RR;1
jul/11;RR;2
ago/11;RR;4
set/11;RR;9
out/11;RR;3
nov/11;RR;3
dez/11;RR;3
jan/12;RR;0
fev/12;RR;0
mar/12;RR;1
abr/12;RR;4
mai/12;RR;8
jun/12;RR;5
jul/12;RR;5
ago/12;RR;0
set/12;RR;2
out/12;RR;10
nov/12;RR;3
dez/12;RR;1
jan/13;RR;6
fev/13;RR;4
mar/13;RR;4
abr/13;RR;1
mai/13;RR;3
jun/13;RR;1
jul/13;RR;2
ago/13;RR;3
set/13;RR;5
out/13;RR;5
nov/13;RR;6
dez/13;RR;2
jan/14;RR;11
fev/14;RR;8
mar/14;RR;9
abr/14;RR;7
mai/14;RR;8
jun/14;RR;12
jul/14;RR;6
ago/14;RR;15
set/14;RR;11
out/14;RR;10
nov/14;RR;4
dez/14;RR;10
jan/15;RR;6
fev/15;RR;7
mar/15;RR;4
abr/15;RR;3
mai/15;RR;12
jun/15;RR;7
jul/15;RR;4
ago/15;RR;6
set/15;RR;5
out/15;RR;2
nov/15;RR;4
dez/15;RR;6
jan/16;RR;4
fev/16;RR;10
mar/16;RR;10
abr/16;RR;11
mai/16;RR;7
jun/16;RR;11
jul/16;RR;8
ago/16;RR;10
set/16;RR;11
out/16;RR;9
nov/16;RR;12
dez/16;RR;10
jan/17;RR;11
fev/17;RR;5
mar/17;RR;10
abr/17;RR;7
mai/17;RR;7
jun/17;RR;6
jul/17;RR;8
ago/17;RR;16
set/17;RR;12
out/17;RR;22
nov/17;RR;17
dez/17;RR;14
jan/18;RR;19
fev/18;RR;25
mar/18;RR;10
abr/18;RR;25
mai/18;RR;12
jun/18;RR;12
jul/18;RR;18
ago/18;RR;18
set/18;RR;25
out/18;RR;25
nov/18;RR;18
dez/18;RR;23
jan/19;RR;28
fev/19;RR;18
mar/19;RR;32
abr/19;RR;43
mai/19;RR;25
jun/19;RR;33
jul/19;RR;33
ago/19;RR;28
set/19;RR;40
out/19;RR;49
nov/19;RR;31
dez/19;RR;24
jan/20;RR;29
fev/20;RR;29
mar/20;RR;31
abr/20;RR;11
mai/20;RR;3
jun/20;RR;0
jul/20;RR;0
ago/20;RR;0
set/20;RR;0
out/20;RR;0
nov/20;RR;1
dez/20;RR;0
jan/07;PA;0
fev/07;PA;0
mar/07;PA;0
abr/07;PA;0
mai/07;PA;0
jun/07;PA;0
jul/07;PA;0
ago/07;PA;0
set/07;PA;0
out/07;PA;0
nov/07;PA;0
dez/07;PA;0
jan/08;PA;0
fev/08;PA;3
mar/08;PA;0
abr/08;PA;1
mai/08;PA;0
jun/08;PA;0
jul/08;PA;0
ago/08;PA;1
set/08;PA;1
out/08;PA;1
nov/08;PA;0
dez/08;PA;0
jan/09;PA;0
fev/09;PA;0
mar/09;PA;0
abr/09;PA;1
mai/09;PA;1
jun/09;PA;1
jul/09;PA;0
ago/09;PA;0
set/09;PA;0
out/09;PA;2
nov/09;PA;2
dez/09;PA;0
jan/10;PA;0
fev/10;PA;0
mar/10;PA;2
abr/10;PA;2
mai/10;PA;0
jun/10;PA;2
jul/10;PA;1
ago/10;PA;1
set/10;PA;3
out/10;PA;2
nov/10;PA;0
dez/10;PA;1
jan/11;PA;1
fev/11;PA;0
mar/11;PA;1
abr/11;PA;2
mai/11;PA;8
jun/11;PA;9
jul/11;PA;13
ago/11;PA;6
set/11;PA;5
out/11;PA;9
nov/11;PA;4
dez/11;PA;1
jan/12;PA;7
fev/12;PA;5
mar/12;PA;3
abr/12;PA;4
mai/12;PA;3
jun/12;PA;3
jul/12;PA;4
ago/12;PA;1
set/12;PA;3
out/12;PA;4
nov/12;PA;1
dez/12;PA;8
jan/13;PA;9
fev/13;PA;8
mar/13;PA;9
abr/13;PA;7
mai/13;PA;7
jun/13;PA;6
jul/13;PA;6
ago/13;PA;11
set/13;PA;14
out/13;PA;20
nov/13;PA;10
dez/13;PA;5
jan/14;PA;8
fev/14;PA;8
mar/14;PA;10
abr/14;PA;11
mai/14;PA;10
jun/14;PA;3
jul/14;PA;5
ago/14;PA;6
set/14;PA;5
out/14;PA;4
nov/14;PA;7
dez/14;PA;9
jan/15;PA;4
fev/15;PA;7
mar/15;PA;1
abr/15;PA;7
mai/15;PA;6
jun/15;PA;8
